MRPS,Evaluations
36,225
30,193.20
48,284.50
30,193.20
30,218
44,262
30,214.90
68,463.30
36,218
56,319
80,716.40
72,691
80,804
80,782.10
72,822.10
88,935.50
88,882.10
96,882.10
80,804
72,718.60
224,3324.10
120,2130.60
240,3929.30
208,3345
192,3116.20
176,2974.60
224,3512.20
224,3365.90
224,3533.10
160,2553
832,20492.80
512,12699.40
768,18190
832,21409.10
640,15060.70
640,15060.70
1088,25919.20
1152,26354.80
640,14829.90
896,20576.10
3840,147495.40
3072,108455.50
2048,74727.90
3840,143270.30
2560,89896
4352,158450.20
3840,143654.40
3328,125504.30
3328,124505.60
2816,109300.60
