MRPS,Evaluations
16,68.50
20,116.90
24,143.60
22,143.60
22,141.30
22,132.10
18,111.20
24,139
22,132.10
26,160.30
32,280
34,316
44,415
40,341.40
32,304.80
28,238.60
34,340.50
32,280
36,337
32,270.70
68,911.80
56,727.10
48,622
60,806.20
68,960.10
60,806.20
52,716.50
52,748.30
44,608.50
60,861.10
104,2017
96,1736.50
104,2059
80,1482.90
104,2048.50
88,1789.90
88,1754.30
96,1718.70
104,2038
88,1807.70
128,3425.30
160,4075.50
176,4957
160,4119
160,4075.50
160,4162.50
176,4974.70
176,5027.80
208,5706.70
176,4886.20
