#Gen,Best Ind,Fitness,#Evals
0,"[-33.41304134 -33.28774519 -33.44999345 -33.37763698 -33.10028276
 -33.60406591 -32.89486383 -33.28474709 -32.92990221 -33.37822438]",21.872852184426414,0
1,"[-33.8774801  -32.92367597 -33.32222137 -33.65595805 -32.33260381
 -34.59395243 -32.85506845 -33.02580557 -31.95671088 -33.99850202]",21.36319591696825,256
2,"[-26.51927664 -25.59226603 -25.96694663 -26.31249923 -24.9771468
 -27.26205644 -25.49936322 -25.6808435  -24.61717269 -26.6275503 ]",21.87828053192842,512
3,"[-0.74360794  0.1697482  -0.18725371 -0.56058017  0.79879196 -1.49270449
  0.27470346  0.10343521  1.16076266 -0.86167288]",4.475271297038095,768
4,"[-0.4539959   0.48761268  0.1078982  -0.26481937  1.1080963  -1.19114647
  0.58749036  0.4072989   1.46434518 -0.56370984]",4.930764859862876,1024
5,"[-0.29907922  0.65232384  0.27105565 -0.10110483  1.26445387 -1.02810657
  0.74814804  0.55329129  1.61141128 -0.39992351]",4.943155178793074,1280
6,"[-0.92033467  0.03225691 -0.34921831 -0.71955151  0.64656393 -1.64893014
  0.1286125  -0.07895052  0.98219431 -1.00798798]",4.31192463230434,1536
7,"[-8.45016589e-01  1.32219098e-01 -2.52684681e-01 -6.19793225e-01
  7.38621916e-01 -1.55356245e+00  2.16325095e-01  1.12907626e-05
  1.05199923e+00 -9.25355024e-01]",4.334134958651429,1792
8,"[-0.90110362  0.0835387  -0.28381478 -0.67438103  0.72787109 -1.58397809
  0.15650896 -0.03217485  1.0098879  -0.95084108]",4.245191025649344,2048
9,"[-0.90924734  0.05379991 -0.26384763 -0.69426043  0.7319197  -1.58740801
  0.11527661 -0.03656374  0.99439288 -0.9596551 ]",4.163467051100255,2304
10,"[-0.89531567  0.05851649 -0.19259078 -0.68881553  0.76238182 -1.57175449
  0.11293855 -0.02070228  0.99400162 -0.92536423]",4.066282876735954,2560
11,"[-0.88791168  0.05265283 -0.16641909 -0.69497583  0.77909239 -1.52804419
  0.09294078 -0.00622522  0.98144609 -0.93072671]",3.990392264245895,2816
12,"[-0.86936459  0.04606438 -0.13909475 -0.71841628  0.79715626 -1.50172296
  0.09239986  0.00736211  0.98390693 -0.92362304]",3.9273881463123463,3072
13,"[-0.8820664   0.03033779 -0.11755562 -0.74230551  0.80430203 -1.51151655
  0.05028098  0.00989064  0.96790374 -0.95021607]",3.8589515670895413,3328
14,"[-0.87443468  0.04645236 -0.06752452 -0.75872431  0.85117625 -1.47043547
  0.03452631  0.02325065  0.9677209  -0.92979835]",3.7582180425563725,3584
15,"[-0.88640428  0.05014726 -0.05874612 -0.77772176  0.86886047 -1.42915265
  0.03463591  0.01778909  0.98841154 -0.91368345]",3.6911632901205036,3840
16,"[-0.89955432  0.04899258 -0.05306323 -0.80155562  0.88232049 -1.39254958
  0.01785232  0.01532199  0.96773975 -0.92003562]",3.6001303986016073,4096
17,"[-0.91776818  0.03243407 -0.04695028 -0.81680061  0.87187435 -1.34670559
  0.02569511  0.00946494  0.97020665 -0.91166222]",3.512576463909778,4352
18,"[-0.92895834  0.01868726 -0.02205055 -0.80888001  0.87222932 -1.29336878
  0.0302791   0.02816061  0.96963165 -0.92208811]",3.4135029454475725,4608
19,"[-0.9196803   0.04402932  0.01094039 -0.80667938  0.89553301 -1.23713624
  0.04232125  0.02206176  0.98061554 -0.9158586 ]",3.309805946916914,4864
