#Gen,Best Ind,Fitness,#Evals
0,"[-3.8720475  -3.74967972 -3.85721962 -3.35562015 -3.57270001 -3.50626426
 -4.0404973  -3.92662836 -4.13049811 -3.59737304]",-3.8439696256399465,0
1,"[-3.49392253 -4.75040054 -3.95608659 -3.48510483 -3.13597689 -2.69819611
 -4.1829349  -4.36614954 -4.19190071 -3.84122147]",-1.4721321709253943,1024
2,"[-3.17012935 -4.43833859 -3.62888824 -3.16004256 -2.80114549 -2.36970079
 -3.85547878 -4.05711406 -3.88706362 -3.51945803]",-0.5625073509416052,2048
3,"[-1.66496114 -2.94411705 -2.13767486 -1.66182358 -1.30096932 -0.87813477
 -2.34821934 -2.57567484 -2.39323812 -2.03116866]",1.065654548394472,3072
4,"[ 0.96681057 -0.29172774  0.50559587  0.98072392  1.34044256  1.76072317
  0.28154754  0.05804367  0.24868454  0.59577348]",-0.31966762073824756,4096
5,"[-161.67594357 -162.92240243 -162.13636964 -161.65737021 -161.3217274
 -160.88162538 -162.36461819 -162.58350679 -162.39910995 -162.04976085]",-1.1934846357427338,5120
6,"[-144.31829024 -145.58303606 -144.78271478 -144.30207659 -143.96750623
 -143.52183124 -145.00107477 -145.23167813 -145.05434336 -144.70106269]",-0.27917260053399506,6144
7,"[-330.49828927 -331.75951923 -330.976281   -330.47625237 -330.13812476
 -329.68932191 -331.19665624 -331.41808228 -331.21994194 -330.88916113]",-1.0651286594919112,7168
8,"[3952.1788129  3950.94424109 3951.72887623 3952.20839291 3952.55242011
 3953.00327596 3951.49256432 3951.27616252 3951.47364476 3951.79839402]",-0.001981927380921414,8192
9,"[3828.27270578 3827.04973054 3827.83313762 3828.33621957 3828.66012903
 3829.13979618 3827.60051853 3827.38599228 3827.57835101 3827.92164536]",-0.2236834756629688,9216
10,"[31505.24039612 31504.04882132 31504.83687111 31505.33496687
 31505.64700174 31506.13295311 31504.60460791 31504.37899599
 31504.565145   31504.90321881]",-0.4959519396667371,10240
11,"[-24509.9176574  -24511.11159756 -24510.31258494 -24509.81986122
 -24509.51216799 -24509.02071775 -24510.55941808 -24510.79967161
 -24510.59892281 -24510.25231654]",-0.33430236310936856,11264
12,"[146416.12504725 146414.92122645 146415.73566149 146416.22964293
 146416.50972572 146417.0229221  146415.46607325 146415.22449124
 146415.43740332 146415.79618839]",0.516227144064965,12288
13,"[178775.39886062 178774.20845491 178775.03072637 178775.52889135
 178775.7998257  178776.3231825  178774.76085435 178774.5104604
 178774.7327119  178775.08614006]",-0.10498776355540304,13312
14,"[-2324207.9114558  -2324209.12291623 -2324208.30064477 -2324207.80247979
 -2324207.53154545 -2324207.00818864 -2324208.57051679 -2324208.82091075
 -2324208.59865924 -2324208.24523108]",1.5314020600352716,14336
15,"[1043527.28868948 1043526.09430248 1043526.91657394 1043527.41473892
 1043527.68567327 1043528.20903007 1043526.64670192 1043526.39630796
 1043526.61855947 1043526.97198763]",0.009867179962038296,15360
16,"[2007155.20238555 2007154.76037266 2007155.58264411 2007156.0808091
 2007156.35174344 2007156.87510024 2007155.31277209 2007155.06237814
 2007155.28462964 2007155.6380578 ]",1.4419583836996384,16384
17,"[59663492.68076189 59663492.23874903 59663493.06102046 59663493.55918545
 59663493.83011979 59663494.3534766  59663492.79114845 59663492.54075448
 59663492.76300599 59663493.11643414]",1.1583578133860788,17408
18,"[62442185.00910487 62442184.56709202 62442185.38936343 62442185.88752842
 62442186.15846276 62442186.68181958 62442185.11949142 62442184.86909746
 62442185.09134897 62442185.44477712]",0.0066301805737078974,18432
19,"[-3.06511741e+08 -3.06511743e+08 -3.06511743e+08 -3.06511742e+08
 -3.06511742e+08 -3.06511741e+08 -3.06511743e+08 -3.06511743e+08
 -3.06511743e+08 -3.06511742e+08]",-0.682256295488033,19456
20,"[-5.66546103e+08 -5.66546116e+08 -5.66546115e+08 -5.66546115e+08
 -5.66546114e+08 -5.66546114e+08 -5.66546116e+08 -5.66546116e+08
 -5.66546116e+08 -5.66546115e+08]",-0.6692600717871401,20480
21,"[2.10758716e+09 2.10758719e+09 2.10758719e+09 2.10758719e+09
 2.10758719e+09 2.10758719e+09 2.10758719e+09 2.10758719e+09
 2.10758719e+09 2.10758719e+09]",1.867311935844897,21504
22,"[-5.06572857e+09 -5.06572838e+09 -5.06572838e+09 -5.06572838e+09
 -5.06572838e+09 -5.06572838e+09 -5.06572838e+09 -5.06572838e+09
 -5.06572838e+09 -5.06572838e+09]",-0.7082572060101258,22528
23,"[3.94063104e+10 3.94063110e+10 3.94063110e+10 3.94063110e+10
 3.94063110e+10 3.94063110e+10 3.94063110e+10 3.94063110e+10
 3.94063110e+10 3.94063110e+10]",0.40575454103742253,23552
24,"[1.62235234e+10 1.62235239e+10 1.62235239e+10 1.62235239e+10
 1.62235239e+10 1.62235239e+10 1.62235239e+10 1.62235239e+10
 1.62235239e+10 1.62235239e+10]",0.032419986923359,24576
25,"[3.06910386e+10 3.06910377e+10 3.06910377e+10 3.06910377e+10
 3.06910377e+10 3.06910377e+10 3.06910377e+10 3.06910377e+10
 3.06910377e+10 3.06910377e+10]",-2.1421350466241185,25600
26,"[3.39091457e+11 3.39091456e+11 3.39091456e+11 3.39091456e+11
 3.39091456e+11 3.39091456e+11 3.39091456e+11 3.39091456e+11
 3.39091456e+11 3.39091456e+11]",0.613836140103307,26624
27,"[2.32712125e+11 2.32712124e+11 2.32712124e+11 2.32712124e+11
 2.32712124e+11 2.32712124e+11 2.32712124e+11 2.32712124e+11
 2.32712124e+11 2.32712124e+11]",-1.1901999789467461,27648
28,"[2.80634386e+12 2.80634390e+12 2.80634390e+12 2.80634390e+12
 2.80634390e+12 2.80634390e+12 2.80634390e+12 2.80634390e+12
 2.80634390e+12 2.80634390e+12]",-0.842037076677345,28672
29,"[5.12281461e+12 5.12281465e+12 5.12281465e+12 5.12281465e+12
 5.12281465e+12 5.12281465e+12 5.12281465e+12 5.12281465e+12
 5.12281465e+12 5.12281465e+12]",0.2517061357905563,29696
30,"[-4.84380834e+12 -4.84380830e+12 -4.84380830e+12 -4.84380830e+12
 -4.84380830e+12 -4.84380830e+12 -4.84380830e+12 -4.84380830e+12
 -4.84380830e+12 -4.84380830e+12]",-0.43390449871809794,30720
31,"[-2.96386592e+13 -2.96386574e+13 -2.96386574e+13 -2.96386574e+13
 -2.96386574e+13 -2.96386574e+13 -2.96386574e+13 -2.96386574e+13
 -2.96386574e+13 -2.96386574e+13]",-0.3387645997989052,31744
32,"[4.03596769e+14 4.03596771e+14 4.03596771e+14 4.03596771e+14
 4.03596771e+14 4.03596771e+14 4.03596771e+14 4.03596771e+14
 4.03596771e+14 4.03596771e+14]",-2.0935713571483827,32768
33,"[-1.89619892e+15 -1.89619892e+15 -1.89619892e+15 -1.89619892e+15
 -1.89619892e+15 -1.89619892e+15 -1.89619892e+15 -1.89619892e+15
 -1.89619892e+15 -1.89619892e+15]",0.4613357495700285,33792
34,"[-6.50474195e+15 -6.50474192e+15 -6.50474192e+15 -6.50474192e+15
 -6.50474192e+15 -6.50474192e+15 -6.50474192e+15 -6.50474192e+15
 -6.50474192e+15 -6.50474192e+15]",0.4368482052878178,34816
35,"[-6.07639921e+15 -6.07639943e+15 -6.07639943e+15 -6.07639943e+15
 -6.07639943e+15 -6.07639943e+15 -6.07639943e+15 -6.07639943e+15
 -6.07639943e+15 -6.07639943e+15]",0.0875418452620958,35840
36,"[-2.38901353e+16 -2.38901355e+16 -2.38901355e+16 -2.38901355e+16
 -2.38901355e+16 -2.38901355e+16 -2.38901355e+16 -2.38901355e+16
 -2.38901355e+16 -2.38901355e+16]",-1.5505740067293214,36864
