#Gen,Best Ind,Fitness,#Evals
0,"[-10.53830042 -10.88827915 -10.83728824 -10.3468894  -10.91149367
 -10.81108897 -10.05639335 -10.86743854 -10.81810126 -10.55478558]",14029445.801300975,0
1,"[ -9.27674548  -9.99014158 -10.47229192  -8.80979274 -10.04149548
  -9.2593327   -9.45209787 -10.09646034 -10.8776125  -11.19975459]",10368900.20279014,64
2,"[-1.55873618 -2.27869283 -2.74416758 -1.0975971  -2.31397745 -1.54588627
 -1.73604433 -2.38822093 -3.16430429 -3.47203576]",52717.869610534006,128
3,"[ 1.08128351  0.3319415  -0.12418972  1.53371221  0.3194046   1.08808545
  0.88222102  0.23833273 -0.52975    -0.84681036]",1021.7824469539488,192
4,"[ 0.48927981 -0.24898612 -0.73235005  0.9316598  -0.28078913  0.4942379
  0.28823707 -0.35245975 -1.11058412 -1.44596352]",1154.8518426970675,256
5,"[ 0.8344281   0.10888153 -0.38232044  1.27663113  0.07009909  0.83487934
  0.64482994 -0.00994766 -0.77152485 -1.09376178]",861.1822647429286,320
6,"[ 0.71040047 -0.00955327 -0.49953627  1.15110136 -0.0380407   0.71544338
  0.53809329 -0.13688345 -0.89887649 -1.20323835]",886.0620139831573,384
7,"[ 0.85121654  0.1187888  -0.37229692  1.25468384  0.10770496  0.84671627
  0.67952883 -0.00620181 -0.77693953 -1.0662852 ]",830.113766709178,448
8,"[ 0.94158683  0.19252872 -0.29876505  1.28672087  0.19313058  0.91309488
  0.7482379   0.08386779 -0.68254303 -0.98304109]",781.1283290731986,512
9,"[ 0.83481043  0.08824771 -0.38760866  1.1748287   0.1190691   0.82118605
  0.66600092  0.00574456 -0.770519   -1.07368665]",746.2609031474776,576
10,"[ 0.8472921   0.10852593 -0.35531899  1.17389113  0.14817198  0.84561996
  0.69384237  0.04164658 -0.72452604 -1.06394444]",711.4659897908443,640
11,"[ 0.92707075  0.20169619 -0.28743749  1.20948466  0.22349476  0.92533518
  0.76966972  0.10304218 -0.66537823 -0.97969587]",690.5501881252915,704
12,"[ 0.8650142   0.15545064 -0.33684822  1.13027257  0.16300643  0.86227022
  0.70035626  0.04757956 -0.71333947 -1.00631158]",653.3887804150856,768
13,"[ 0.8914117   0.19451815 -0.31296324  1.15441573  0.20080152  0.87534544
  0.72449661  0.08791068 -0.66231524 -0.96615081]",626.0199628266685,832
14,"[ 0.85363931  0.17587202 -0.33739017  1.11978073  0.17619596  0.84690407
  0.68902574  0.06813572 -0.6791126  -0.98552127]",607.6847284843075,896
15,"[ 0.88963648  0.20623152 -0.3070747   1.13423627  0.23549861  0.90210971
  0.73392383  0.09574874 -0.62379625 -0.93360826]",578.5264652509364,960
16,"[ 0.83619744  0.14331046 -0.35814509  1.06907343  0.19551635  0.84483326
  0.68915026  0.07547195 -0.66665619 -0.96647691]",555.8734056632405,1024
17,"[ 0.88473806  0.1723614  -0.31100619  1.10026655  0.24478739  0.8826406
  0.7199329   0.11535963 -0.60374422 -0.92684693]",538.4055764332729,1088
18,"[ 0.84181242  0.15088777 -0.32636394  1.04504664  0.22679536  0.84424077
  0.7125591   0.08913848 -0.61398163 -0.9329497 ]",503.55500104569364,1152
19,"[ 0.8937396   0.21105755 -0.28426735  1.06909324  0.2943512   0.88497605
  0.76441303  0.14318902 -0.55627631 -0.8625323 ]",474.896876062014,1216
20,"[ 0.84169738  0.15289416 -0.33746567  1.00045002  0.260616    0.82304808
  0.73015981  0.10765087 -0.58679314 -0.89970328]",449.7546471327322,1280
21,"[ 0.86118233  0.17738145 -0.29429686  1.00281067  0.31278476  0.85337944
  0.76015237  0.13155106 -0.54579202 -0.87755853]",427.4407693681705,1344
22,"[ 0.89033225  0.2101536  -0.26530286  1.00783218  0.350994    0.87187955
  0.76932516  0.16906224 -0.50073129 -0.83935283]",402.03248018979707,1408
23,"[ 0.87036599  0.20607356 -0.27421691  0.95983552  0.34258344  0.8514127
  0.74061473  0.15726515 -0.48976818 -0.84506205]",371.30615200052694,1472
24,"[ 0.84953875  0.20866867 -0.30295164  0.92530751  0.33162774  0.8340874
  0.69788519  0.13894615 -0.47324815 -0.84788924]",344.8500490602601,1536
25,"[ 0.8658202   0.2378816  -0.26513241  0.90925443  0.35998034  0.87128568
  0.73078139  0.18096376 -0.43453407 -0.80458964]",322.22772345635303,1600
26,"[ 0.87622945  0.26229223 -0.26125277  0.92129903  0.38404774  0.86781077
  0.73131681  0.19918466 -0.41192133 -0.80159004]",314.00164127921335,1664
27,"[ 0.8427797   0.22764704 -0.27753813  0.88146891  0.36668841  0.84121523
  0.71432752  0.17461557 -0.41948277 -0.82128694]",302.07933762330475,1728
28,"[ 0.87541983  0.27536814 -0.24179879  0.89806128  0.42544993  0.86384564
  0.7327871   0.22493781 -0.37638311 -0.77734115]",283.2870887386692,1792
29,"[ 0.88333704  0.30476669 -0.23716756  0.89150507  0.45409113  0.87895664
  0.74428158  0.24398839 -0.35432102 -0.75578842]",269.4505913035732,1856
30,"[ 0.87717709  0.29957451 -0.23527636  0.87890606  0.46980082  0.86003794
  0.73332156  0.23026025 -0.3482298  -0.74145626]",255.31643292384067,1920
31,"[ 0.8542065   0.25023004 -0.2523547   0.81188915  0.4442131   0.81052409
  0.69074826  0.18603437 -0.3615449  -0.76261555]",240.33939873855584,1984
32,"[ 0.88993998  0.29361843 -0.19653364  0.84619858  0.49447391  0.83229989
  0.74343798  0.21272885 -0.3124948  -0.71672914]",233.10353560696063,2048
33,"[ 0.87019521  0.28343016 -0.21864161  0.82990355  0.49945345  0.82300935
  0.73443612  0.21458644 -0.3231571  -0.69361214]",221.99445022484412,2112
34,"[ 0.86694037  0.28667879 -0.20658624  0.8219646   0.51421448  0.82806015
  0.72856365  0.22842615 -0.28715515 -0.67613753]",208.05028703530854,2176
35,"[ 0.85097155  0.27215879 -0.23262444  0.77799405  0.49736836  0.81259554
  0.69682474  0.20445634 -0.29662171 -0.6970253 ]",201.27503144215905,2240
36,"[ 0.86435094  0.31458342 -0.1977621   0.81052988  0.57178012  0.84786543
  0.7357361   0.25731579 -0.24277799 -0.64591949]",186.53839888446447,2304
37,"[ 0.86105401  0.33779785 -0.16290915  0.81635044  0.61298948  0.86390769
  0.75490417  0.27800059 -0.19741939 -0.61272157]",173.03039512805864,2368
38,"[ 0.85715458  0.36621718 -0.14032249  0.80818531  0.65365701  0.84474331
  0.75243713  0.28991998 -0.17309702 -0.59717886]",158.28169397195043,2432
39,"[ 0.81605923  0.34879556 -0.14461174  0.7766862   0.64237086  0.8215518
  0.71833511  0.27532919 -0.17461396 -0.59489879]",146.4669325751342,2496
40,"[ 0.8097061   0.34695664 -0.14056639  0.74628184  0.65413744  0.80818174
  0.7114196   0.27567902 -0.1646193  -0.57894789]",136.64421738543822,2560
41,"[ 0.79797615  0.3460675  -0.1300803   0.72970651  0.66950853  0.80326018
  0.69038702  0.27896392 -0.14931074 -0.5710214 ]",128.35641108310523,2624
42,"[ 0.81857707  0.36461699 -0.10139343  0.75153033  0.70370038  0.82212807
  0.70618817  0.32058498 -0.09807293 -0.52968036]",122.3517782453688,2688
43,"[ 0.76688502  0.32886194 -0.12366264  0.69548421  0.65828656  0.77809336
  0.65782368  0.26955912 -0.12591526 -0.54774955]",115.88416939107775,2752
44,"[ 0.76940254  0.34790043 -0.09658334  0.71224092  0.67534231  0.7948087
  0.66289922  0.29763941 -0.09621675 -0.52143291]",111.8055900196454,2816
45,"[ 0.75770554  0.35977859 -0.1074891   0.69251754  0.68847884  0.80096053
  0.66056906  0.28750195 -0.09418614 -0.49551996]",106.19947336104582,2880
46,"[ 0.77033505  0.39853542 -0.06434626  0.70639779  0.72375112  0.84037662
  0.68378412  0.3153749  -0.064227   -0.45695072]",102.90920078657837,2944
47,"[ 0.73176018  0.36828528 -0.09460577  0.64681235  0.68249219  0.78582527
  0.62673028  0.28247103 -0.1081097  -0.47163688]",97.94027213112754,3008
48,"[ 0.75391301  0.39960398 -0.06580363  0.64442331  0.72245985  0.79028743
  0.6462186   0.29578181 -0.07464605 -0.42818523]",92.09598922391817,3072
49,"[ 0.69140699  0.36086498 -0.1152777   0.5826423   0.67640444  0.75398178
  0.58228606  0.25086815 -0.10505186 -0.46345326]",90.1341499327313,3136
50,"[ 0.72567006  0.40695279 -0.04516981  0.62160109  0.71273985  0.79556727
  0.63582322  0.289758   -0.05885516 -0.40497495]",86.75911606686385,3200
51,"[ 0.735339    0.43917267 -0.01168217  0.62093156  0.74757919  0.81301242
  0.66932359  0.33766404 -0.03732324 -0.36381818]",83.44590606256698,3264
52,"[ 0.7245655   0.44608202 -0.01592288  0.61320854  0.73011757  0.78595329
  0.64451583  0.31296609 -0.03270485 -0.34631275]",79.9893629642196,3328
53,"[ 0.71473474  0.41845339 -0.02816326  0.58686281  0.71471681  0.73898431
  0.61045408  0.27814295 -0.04947609 -0.35472731]",77.49664261083227,3392
54,"[ 0.70158001  0.42678741 -0.0308844   0.59116576  0.71064795  0.75643187
  0.5927161   0.27039568 -0.05317672 -0.33148439]",76.2327638601722,3456
55,"[ 0.71361762  0.44710194  0.00527727  0.60777479  0.73210181  0.77557601
  0.60641816  0.29800413 -0.02966287 -0.31341158]",75.13784243681016,3520
56,"[ 0.68403538  0.41991895 -0.01096494  0.56182971  0.72752807  0.7562041
  0.58499235  0.26774199 -0.04945213 -0.31589315]",73.16998913826846,3584
57,"[ 0.71597943  0.42226193  0.03645807  0.58833678  0.77130884  0.76564363
  0.61685035  0.31598117  0.01184937 -0.26935036]",70.03573263642596,3648
58,"[ 0.69048365  0.41319903  0.01535786  0.55101387  0.74266766  0.72912269
  0.59219628  0.29528663 -0.01976122 -0.26304169]",67.79477517035403,3712
59,"[ 0.71476966  0.44029839  0.03140134  0.54774488  0.75020179  0.73893952
  0.58443626  0.31164386  0.00163798 -0.22045272]",65.72061503821787,3776
60,"[ 0.69843377  0.41273235  0.0296511   0.52170085  0.70955197  0.71603958
  0.58224254  0.28134368  0.00157887 -0.24312674]",64.10563924329453,3840
61,"[ 0.69181392  0.43012002  0.05305719  0.51989649  0.72480002  0.7333736
  0.59644258  0.32600678  0.00245485 -0.21020822]",62.9339725001449,3904
62,"[ 0.74369776  0.49291005  0.12962009  0.58039029  0.76916541  0.77351437
  0.6437422   0.38422384  0.0516374  -0.146865  ]",61.629381898520606,3968
63,"[ 0.67703196  0.43060223  0.07332977  0.51875002  0.67749315  0.6885684
  0.55385895  0.32978743  0.00756757 -0.18940428]",58.29263059007461,4032
64,"[ 0.62814121  0.36541739  0.02527016  0.44731094  0.60410156  0.62353233
  0.50398553  0.26294261 -0.02216289 -0.23592913]",55.90550579120872,4096
65,"[ 0.70756705  0.45086452  0.14615992  0.54163671  0.67550043  0.68996887
  0.58046257  0.34590012  0.07801505 -0.13852779]",54.049318696767344,4160
66,"[ 0.6318948   0.37127441  0.06362191  0.44945414  0.5769201   0.60135525
  0.4983844   0.27059262  0.01753244 -0.20754438]",52.08152676728881,4224
67,"[ 0.62912925  0.39262347  0.10423368  0.47105808  0.58446459  0.61828141
  0.51266083  0.27220614  0.0384896  -0.17515774]",50.783498740646536,4288
68,"[ 0.68216617  0.46731107  0.18752946  0.54646178  0.61971421  0.67257149
  0.5624496   0.33415008  0.09610138 -0.09380609]",50.15661790053689,4352
69,"[ 0.65298649  0.42281163  0.17422432  0.48281809  0.56978241  0.61993713
  0.51811675  0.31126778  0.06961115 -0.11947143]",47.42767881569189,4416
70,"[ 0.71319853  0.50578309  0.27826308  0.54916207  0.64505707  0.69599241
  0.60969746  0.3785344   0.15980566 -0.02031817]",46.26161277223653,4480
71,"[ 0.72446017  0.51942851  0.28855762  0.55234085  0.6514388   0.70423222
  0.60906523  0.36980941  0.17879618 -0.00519313]",45.911164207788744,4544
