#Gen,Best Ind,Fitness,#Evals
0,[-5.43286994 -5.67014468],61.66661650109779,0
1,[-2.35592427 -2.62015035],12.415567048321165,128
2,[ 0.23254176 -0.01461129],0.05428916202928565,256
3,[ 0.107637   -0.13912806],0.030942341525367408,384
4,[ 0.10553821 -0.09475271],0.020116390055810434,512
5,[ 0.05854167 -0.06520433],0.007678731382751575,640
6,[ 0.03475531 -0.03258843],0.0022699374496594907,768
7,[ 0.01668779 -0.01767836],0.0005910064394322214,896
8,[ 0.00280712 -0.00164499],1.0585894538130506e-05,1024
9,[0.00206072 0.00075265],4.8130569283556185e-06,1152
10,[ 0.00140774 -0.0001832 ],2.0152871186775163e-06,1280
11,[-0.00304098 -0.00082802],9.933183461336514e-06,1408
12,[ 0.00103487 -0.00304206],1.0325099291516774e-05,1536
13,[ 0.00266464 -0.00211748],1.158406590945868e-05,1664
14,[-0.00027363 -0.00103739],1.1510471906170863e-06,1792
15,[0.0035621  0.00287797],2.0971237753967507e-05,1920
16,[ 0.00400174 -0.00244948],2.2013896535680717e-05,2048
17,[-0.00154976 -0.00365328],1.5748234766896575e-05,2176
18,[0.00217121 0.0012357 ],6.241111685117144e-06,2304
19,[-0.00079057  0.0020358 ],4.7694973449287195e-06,2432
20,[0.0025484  0.00198636],1.0439953010146878e-05,2560
21,[-0.00254026  0.00061002],6.825023356394428e-06,2688
22,[-0.00286446  0.0008033 ],8.850414571144629e-06,2816
23,[-0.00022519 -0.00230961],5.384986982324978e-06,2944
24,[-0.00390802 -0.00305257],2.4590787659502834e-05,3072
25,[0.00165669 0.0032011 ],1.2991685294786035e-05,3200
26,[-0.00336719  0.00308668],2.0865580441987122e-05,3328
27,[-0.0008809 -0.0002934],8.620717416715614e-07,3456
28,[-0.00157824 -0.00245623],8.523887104636158e-06,3584
29,[0.0001968  0.00162823],2.6898512773569025e-06,3712
30,[-0.0019375   0.00093595],4.629907513682666e-06,3840
31,[-8.10258923e-05  5.03650183e-04],2.6022870166489375e-07,3968
32,[ 0.00031872 -0.0017809 ],3.2731890150311906e-06,4096
33,[-0.00020481  0.00071202],5.489232808410846e-07,4224
34,[-0.00028738 -0.0008526 ],8.095047569032605e-07,4352
35,[-0.00043557 -0.00484022],2.3617437979802505e-05,4480
36,[ 0.00011874 -0.00166321],2.780356352829395e-06,4608
37,[-0.00221356 -0.00329781],1.577539888256691e-05,4736
38,[-0.00115296 -0.00362875],1.449711065312933e-05,4864
39,[-0.00334206  0.00012863],1.1185889116035214e-05,4992
40,[-0.0011656  -0.00032642],1.4651767121026248e-06,5120
41,[-0.00083976 -0.00098651],1.6783868357085861e-06,5248
42,[ 0.00175644 -0.00010219],3.0955222559871654e-06,5376
43,[-0.00108996  0.00080604],1.837698376988108e-06,5504
44,[ 0.00126164 -0.00083598],2.2906060722105768e-06,5632
45,[-0.00274917 -0.00191024],1.1206954634939852e-05,5760
46,[0.00327248 0.00194705],1.4500149698463195e-05,5888
47,[-0.00257878 -0.00394833],2.2239420997503736e-05,6016
48,[-0.00137404 -0.00017201],1.9175598571487704e-06,6144
49,[0.00133011 0.00051587],2.0353101022666767e-06,6272
50,[-0.00229989  0.00017544],5.320251802974496e-06,6400
51,[-6.79393288e-04 -5.55475831e-05],4.646607733483428e-07,6528
52,[-0.00194245  0.00173233],6.774098231316127e-06,6656
53,[ 0.00337216 -0.00246452],1.7445307551330777e-05,6784
54,[-2.64926428e-04 -1.61617209e-05],7.044721344312245e-08,6912
55,[ 1.25548265e-03 -3.34619898e-05],1.577356393401214e-06,7040
56,[0.00174942 0.0014526 ],5.1705016808373565e-06,7168
57,[ 0.00268129 -0.00188179],1.0730429110923505e-05,7296
58,[-0.00272462  0.00127276],9.043445930934805e-06,7424
59,[-0.00032656 -0.0004705 ],3.2800550669032713e-07,7552
60,[ 3.12710634e-05 -1.83407179e-03],3.364797218586761e-06,7680
61,[ 0.00361295 -0.00019236],1.3090437280462232e-05,7808
62,[ 1.31802431e-03 -1.05340135e-05],1.7372990434465497e-06,7936
63,[ 5.50107835e-04 -7.52007091e-05],3.082737765622094e-07,8064
64,[-0.00132493 -0.00251726],8.092045713229297e-06,8192
65,[ 7.16888812e-05 -2.74970468e-03],7.566015147676379e-06,8320
66,[0.00018346 0.00344512],1.1902537315833754e-05,8448
67,[-0.00251665  0.00326745],1.7009743376524084e-05,8576
68,[ 0.00092098 -0.00122742],2.35476412181043e-06,8704
69,[-0.00014229 -0.00159754],2.5723804220474174e-06,8832
70,[1.75244326e-04 4.95461145e-05],3.316539131450015e-08,8960
71,[-0.00282594  0.00265677],1.5044382579832567e-05,9088
72,[-0.00104267  0.00355482],1.3723893188859575e-05,9216
73,[0.00018184 0.00165548],2.7736812856931398e-06,9344
74,[ 0.00052686 -0.00037934],4.2147672015408615e-07,9472
75,[-0.00193465 -0.00036178],3.8737513945772595e-06,9600
76,[-0.00233658  0.00196565],9.323368775632446e-06,9728
77,[ 0.00101061 -0.00162468],3.66090733048531e-06,9856
78,[-0.00304146 -0.00191266],1.2908762738655177e-05,9984
79,[-0.00095328 -0.0002706 ],9.819605163411472e-07,10112
80,[-0.00047336 -0.00102541],1.2755245643042892e-06,10240
81,[-5.66283066e-05  5.55195728e-04],3.1144906190397234e-07,10368
82,[ 0.0014423  -0.00123302],3.6005613739875395e-06,10496
83,[-0.00010163  0.00105981],1.1335292863435553e-06,10624
84,[-0.00231821  0.00234852],1.088961220216663e-05,10752
85,[ 0.00074983 -0.00061609],9.418215690204993e-07,10880
86,[-0.00361813  0.00294801],2.1781593768486338e-05,11008
87,[0.00326698 0.00066693],1.1117930873258276e-05,11136
88,[ 0.00055771 -0.00259337],7.036606623308325e-06,11264
