#Gen,Best Ind,Fitness,#Evals
0,[-10.31286994 -10.55014468],61323.591829664045,0
1,[-8.41190816 -5.49673754],9057.875039433666,512
2,[-1.83072199  1.06556457],4.5100409678818,1024
3,[-1.76558157  1.09899204],4.373989695550479,1536
4,[-1.65610713  1.11383135],4.071649861750074,2048
5,[-1.59426828  1.08584681],3.811057700171968,2560
6,[-1.53138299  1.04399865],3.5185211792863686,3072
7,[-1.48316124  0.98708898],3.2380192748004153,3584
8,[-1.44404748  0.92648877],2.98720825608349,4096
9,[-1.32515697  0.94233682],2.728429764843793,4608
10,[-1.30433279  0.87274416],2.5139882236386417,5120
11,[-1.22139129  0.84859281],2.2717045022680504,5632
12,[-1.1893211   0.77482132],2.0483441592332023,6144
13,[-1.12889588  0.74019419],1.8541340706011584,6656
14,[-1.03962492  0.73557308],1.670607529854343,7168
15,[-0.9894016   0.68690719],1.4890651158005828,7680
16,[-0.9423792   0.63351519],1.316463960368958,8192
17,[-0.88067554  0.58690049],1.1419836472230538,8704
18,[-0.80120825  0.57185392],0.9991381000764389,9216
19,[-0.7366373   0.53311617],0.8547431581870958,9728
20,[-0.66867058  0.49413314],0.7174753115585816,10240
21,[-0.58707923  0.46854198],0.5957573758303146,10752
22,[-0.54768754  0.41483929],0.49232822135795856,11264
23,[-0.49107592  0.37308079],0.39687663080774266,11776
24,[-0.46558484  0.30373022],0.31407878281106183,12288
25,[-0.40148791  0.28948198],0.2529288059387245,12800
26,[-0.35332051  0.24159119],0.18743549122845266,13312
27,[-0.27663077  0.2123818 ],0.1271465399672417,13824
28,[-0.22194873  0.1835561 ],0.08824994194226063,14336
29,[-0.16485734  0.13387667],0.04775480824263064,14848
30,[-0.12057665  0.0780119 ],0.02093881005938462,15360
31,[-0.06044159  0.0533695 ],0.007037638503679229,15872
32,[-0.01923178  0.01824582],0.0007772525572374116,16384
33,[-7.04948157e-04 -2.20790064e-05],6.37729418971454e-07,16896
34,[-0.00096821 -0.00015652],1.3723194706831106e-06,17408
35,[0.00126895 0.00171615],1.0080926348873386e-05,17920
36,[-0.00076032 -0.00037683],1.2931289694171153e-06,18432
37,[-0.00155527 -0.0003801 ],3.903676693830862e-06,18944
38,[-1.35531132e-03 -7.18787035e-05],2.4038373870696693e-06,19456
39,[0.00065592 0.00015241],6.842186065749495e-07,19968
40,[-0.00051249  0.00111291],2.235107462965221e-06,20480
41,[ 0.00023869 -0.00020589],1.068536079105621e-07,20992
42,[ 0.0011368  -0.00138779],3.889661564077887e-06,21504
43,[-0.00026718  0.0014643 ],3.986333722001316e-06,22016
44,[-0.00020684  0.00016535],7.395984531050441e-08,22528
45,[1.34527298e-03 6.43314024e-05],2.3570198815754683e-06,23040
46,[ 1.72517706e-03 -6.39875626e-05],3.6180942082463132e-06,23552
47,[ 0.00301856 -0.00187996],1.27833386884624e-05,24064
48,[ 0.00221767 -0.00225931],1.1346109241872534e-05,24576
49,[-3.35714973e-04  8.00194421e-05],1.268231760805093e-07,25088
50,[ 0.00154923 -0.00134541],4.5360460203429754e-06,25600
51,[-0.00029486  0.0006552 ],7.74064779968989e-07,26112
52,[0.00033254 0.0010978 ],2.9136249739233174e-06,26624
53,[-2.37169292e-04  6.24436465e-05],6.330029402784814e-08,27136
54,[ 0.00067872 -0.00019254],5.192842148889533e-07,27648
55,[ 0.00063521 -0.00070027],1.0403126060453849e-06,28160
56,[ 3.02435093e-05 -6.52920826e-04],8.340080963362876e-07,28672
57,[-0.00077572  0.00015642],6.797727186884831e-07,29184
58,[ 0.0021206  -0.00090021],5.332961904958262e-06,29696
59,[0.00108679 0.00026816],1.9116513048160335e-06,30208
60,[ 0.00091895 -0.00156707],4.526962507568878e-06,30720
61,[-0.00126818 -0.00100928],5.327587082264487e-06,31232
62,[-0.00166834  0.00148503],5.412291166026348e-06,31744
63,[7.48018208e-05 2.81574215e-05],1.0686047681190309e-08,32256
64,[-7.20881084e-05  1.36226665e-03],3.6198365974669385e-06,32768
65,[ 0.00021124 -0.00060037],6.498340793888819e-07,33280
