#Gen,Best Ind,Fitness,#Evals
0,"[2.19540113 0.71400344 0.72006624 1.90422474 1.75672561 0.90285169
 2.27398347 1.75359267 2.53946203 0.40078485]",-4.124919900303978,0
1,"[2.19540113 0.71400344 0.72006624 1.90422474 1.75672561 0.90285169
 2.27398347 1.75359267 2.53946203 0.40078485]",-4.124919900303978,1024
2,"[2.19540113 0.71400344 0.72006624 1.90422474 1.75672561 0.90285169
 2.27398347 1.75359267 2.53946203 0.40078485]",-4.124919900303978,2049
3,"[2.19540113 0.71400344 0.72006624 1.90422474 1.75672561 0.90285169
 2.27398347 1.75359267 2.53946203 0.40078485]",-4.124919900303978,3074
4,"[2.19540113 0.71400344 0.72006624 1.90422474 1.75672561 0.90285169
 2.27398347 1.75359267 2.53946203 0.40078485]",-4.124919900303978,4099
5,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,5124
6,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,6149
7,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,7174
8,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,8199
9,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,9224
10,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,10249
11,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,11274
12,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,12299
13,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,13324
14,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,14349
15,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,15374
16,"[2.41077741 1.73087511 1.2164802  1.12747038 1.75111289 2.36797612
 1.47450399 2.07852172 1.0690765  0.58315688]",-5.0283362263871005,16399
