#Gen,Best Ind,Fitness,#Evals
0,"[-4.04164257  1.08005179 -2.77169021  1.35623164  4.80447716  0.11392083
  2.97824985  0.39846699 -0.82550147  0.35227669]",90687.11395638305,0
1,"[ 3.77999851 -3.1864044  -2.65596886 -1.33845506  0.10280862  1.91160585
 -1.49488992  1.48925426 -3.622317    5.82718179]",66145.91971568792,256
2,"[ 3.77999851 -3.1864044  -2.65596886 -1.33845506  0.10280862  1.91160585
 -1.49488992  1.48925426 -3.622317    5.82718179]",66145.91971568792,513
3,"[ 2.69017673 -0.12425779 -0.14105567 -2.35357389 -2.29219143 -3.14295855
  3.16950924  0.73377485  2.4239897   3.89700458]",33139.58666789087,770
4,"[ 1.23762393  1.4733249  -1.59350809 -2.19202235  0.13409092 -1.13147177
  0.49317043 -3.46512519  3.72705222  6.0718332 ]",20426.557340970594,1027
5,"[ 1.23762393  1.4733249  -1.59350809 -2.19202235  0.13409092 -1.13147177
  0.49317043 -3.46512519  3.72705222  6.0718332 ]",20426.557340970594,1284
6,"[ 1.23762393  1.4733249  -1.59350809 -2.19202235  0.13409092 -1.13147177
  0.49317043 -3.46512519  3.72705222  6.0718332 ]",20426.557340970594,1541
7,"[ 1.23762393  1.4733249  -1.59350809 -2.19202235  0.13409092 -1.13147177
  0.49317043 -3.46512519  3.72705222  6.0718332 ]",20426.557340970594,1798
8,"[ 1.23762393  1.4733249  -1.59350809 -2.19202235  0.13409092 -1.13147177
  0.49317043 -3.46512519  3.72705222  6.0718332 ]",20426.557340970594,2055
9,"[ 1.23762393  1.4733249  -1.59350809 -2.19202235  0.13409092 -1.13147177
  0.49317043 -3.46512519  3.72705222  6.0718332 ]",20426.557340970594,2312
10,"[ 1.23762393  1.4733249  -1.59350809 -2.19202235  0.13409092 -1.13147177
  0.49317043 -3.46512519  3.72705222  6.0718332 ]",20426.557340970594,2569
11,"[ 1.23762393  1.4733249  -1.59350809 -2.19202235  0.13409092 -1.13147177
  0.49317043 -3.46512519  3.72705222  6.0718332 ]",20426.557340970594,2826
12,"[ 1.23762393  1.4733249  -1.59350809 -2.19202235  0.13409092 -1.13147177
  0.49317043 -3.46512519  3.72705222  6.0718332 ]",20426.557340970594,3083
13,"[ 1.23762393  1.4733249  -1.59350809 -2.19202235  0.13409092 -1.13147177
  0.49317043 -3.46512519  3.72705222  6.0718332 ]",20426.557340970594,3340
14,"[ 0.09074811  0.98939815 -1.72908403 -2.31046184  1.31419823  1.55275433
  2.03664797 -0.94106134  0.75437124 -4.75339443]",10724.05979322853,3597
15,"[ 0.09074811  0.98939815 -1.72908403 -2.31046184  1.31419823  1.55275433
  2.03664797 -0.94106134  0.75437124 -4.75339443]",10724.05979322853,3854
16,"[ 0.09074811  0.98939815 -1.72908403 -2.31046184  1.31419823  1.55275433
  2.03664797 -0.94106134  0.75437124 -4.75339443]",10724.05979322853,4111
17,"[ 0.09074811  0.98939815 -1.72908403 -2.31046184  1.31419823  1.55275433
  2.03664797 -0.94106134  0.75437124 -4.75339443]",10724.05979322853,4368
18,"[ 1.17815776 -0.25348363  1.40951686 -0.34163289 -1.08412066 -0.01986059
  1.5209046  -1.53736505  2.3983961   6.79582472]",3120.0917708578577,4625
19,"[ 1.17815776 -0.25348363  1.40951686 -0.34163289 -1.08412066 -0.01986059
  1.5209046  -1.53736505  2.3983961   6.79582472]",3120.0917708578577,4882
20,"[ 1.17815776 -0.25348363  1.40951686 -0.34163289 -1.08412066 -0.01986059
  1.5209046  -1.53736505  2.3983961   6.79582472]",3120.0917708578577,5139
21,"[ 1.17815776 -0.25348363  1.40951686 -0.34163289 -1.08412066 -0.01986059
  1.5209046  -1.53736505  2.3983961   6.79582472]",3120.0917708578577,5396
22,"[ 1.17815776 -0.25348363  1.40951686 -0.34163289 -1.08412066 -0.01986059
  1.5209046  -1.53736505  2.3983961   6.79582472]",3120.0917708578577,5653
23,"[ 1.17815776 -0.25348363  1.40951686 -0.34163289 -1.08412066 -0.01986059
  1.5209046  -1.53736505  2.3983961   6.79582472]",3120.0917708578577,5910
24,"[ 1.17815776 -0.25348363  1.40951686 -0.34163289 -1.08412066 -0.01986059
  1.5209046  -1.53736505  2.3983961   6.79582472]",3120.0917708578577,6167
25,"[ 1.49449569  0.04343144  0.21085491 -0.00986313 -0.7298088  -0.60594642
 -2.05672152  0.56004695  0.59946039  0.3931259 ]",2628.029944678778,6424
26,"[ 1.49449569  0.04343144  0.21085491 -0.00986313 -0.7298088  -0.60594642
 -2.05672152  0.56004695  0.59946039  0.3931259 ]",2628.029944678778,6681
27,"[ 1.49449569  0.04343144  0.21085491 -0.00986313 -0.7298088  -0.60594642
 -2.05672152  0.56004695  0.59946039  0.3931259 ]",2628.029944678778,6938
