#Gen,Best Ind,Fitness,#Evals
0,[ 0.38561953 -0.29905858],3.4622235171928577,0
1,[ 0.38561953 -0.29905858],3.4622235171928577,1024
2,[0.53105193 0.02801839],3.1654840784078933,2049
3,[-0.1896436   0.23937706],2.319533509965041,3074
4,[-0.1896436   0.23937706],2.319533509965041,4099
5,[-0.1896436   0.23937706],2.319533509965041,5124
6,[-0.1896436   0.23937706],2.319533509965041,6149
7,[-0.1896436   0.23937706],2.319533509965041,7174
8,[-0.1896436   0.23937706],2.319533509965041,8199
9,[0.06145959 0.11610286],0.7794399092340325,9224
10,[0.06145959 0.11610286],0.7794399092340325,10249
11,[0.06145959 0.11610286],0.7794399092340325,11274
12,[ 0.11381501 -0.05723498],0.7461902348502787,12299
13,[ 0.11381501 -0.05723498],0.7461902348502787,13324
14,[-0.00910822  0.01979426],0.07422799612776076,14349
15,[-0.00910822  0.01979426],0.07422799612776076,15374
16,[-0.00910822  0.01979426],0.07422799612776076,16399
17,[-0.02020273 -0.00067504],0.06801771070860285,17424
18,[-0.02020273 -0.00067504],0.06801771070860285,18449
19,[-0.02020273 -0.00067504],0.06801771070860285,19474
20,[-0.02020273 -0.00067504],0.06801771070860285,20499
21,[-0.02020273 -0.00067504],0.06801771070860285,21524
22,[ 0.01466962 -0.00285986],0.04821058344989426,22549
23,[-0.00674302  0.0030659 ],0.022411466735932084,23574
24,[-0.00674302  0.0030659 ],0.022411466735932084,24599
25,[-0.00674302  0.0030659 ],0.022411466735932084,25624
26,[-0.00674302  0.0030659 ],0.022411466735932084,26649
27,[-0.00674302  0.0030659 ],0.022411466735932084,27674
28,[-0.00045751  0.00497559],0.014797135684102347,28699
29,[-1.85077147e-05  1.77482480e-03],0.005104121962496766,29724
30,[-1.85077147e-05  1.77482480e-03],0.005104121962496766,30749
31,[-1.85077147e-05  1.77482480e-03],0.005104121962496766,31774
32,[-1.85077147e-05  1.77482480e-03],0.005104121962496766,32799
33,[0.00073873 0.00108281],0.0037532498502774736,33824
34,[-8.92292240e-04  4.68676299e-06],0.002545019957612471,34849
35,[-5.62102852e-04  7.91151677e-05],0.0016141176240194177,35874
36,[ 0.00040105 -0.0001584 ],0.0012245693373604816,36899
37,[ 0.00040105 -0.0001584 ],0.0012245693373604816,37924
38,[-0.00034471  0.0002162 ],0.0011552936856955576,38949
39,[-2.54177248e-04  3.40541628e-05],0.000727096721860665,39974
40,[-2.54177248e-04  3.40541628e-05],0.000727096721860665,40999
41,[0.00017983 0.00011779],0.0006092571019746806,42024
42,[0.00017983 0.00011779],0.0006092571019746806,43049
43,[0.00017983 0.00011779],0.0006092571019746806,44074
44,[0.00017983 0.00011779],0.0006092571019746806,45099
45,[0.00017983 0.00011779],0.0006092571019746806,46124
46,[-1.36302680e-04 -9.54706067e-05],0.0004714225162101293,47149
47,[ 1.04799064e-04 -4.83536231e-05],0.0003268012382098284,48174
48,[-7.79205444e-05  5.73884143e-05],0.00027396516025435247,49199
49,[9.47515481e-06 3.40541628e-05],0.00010001185132013646,50224
50,[9.47515481e-06 3.40541628e-05],0.00010001185132013646,51249
51,[9.47515481e-06 3.40541628e-05],0.00010001185132013646,52274
52,[4.96771763e-06 3.16452848e-05],9.06298517127091e-05,53299
53,[4.96771763e-06 3.16452848e-05],9.06298517127091e-05,54324
54,[-5.32170941e-06  1.46365265e-05],4.405629395920485e-05,55349
55,[-5.32170941e-06  1.46365265e-05],4.405629395920485e-05,56374
56,[-6.12346116e-06  5.03733119e-06],2.2428708220889604e-05,57399
57,[-6.66099849e-06 -1.55871912e-06],1.935035594913259e-05,58424
58,[-6.66099849e-06 -1.55871912e-06],1.935035594913259e-05,59449
59,[-6.66099849e-06 -1.55871912e-06],1.935035594913259e-05,60474
60,[-3.91944377e-06 -2.08710311e-06],1.2560155262963946e-05,61499
61,[ 1.59916784e-06 -3.05004473e-07],4.60473388175231e-06,62524
62,[ 1.59916784e-06 -3.05004473e-07],4.60473388175231e-06,63549
63,[ 1.59916784e-06 -3.05004473e-07],4.60473388175231e-06,64574
64,[ 1.59916784e-06 -3.05004473e-07],4.60473388175231e-06,65599
65,[ 1.59916784e-06 -3.05004473e-07],4.60473388175231e-06,66624
66,[ 1.59916784e-06 -3.05004473e-07],4.60473388175231e-06,67649
67,[ 1.59916784e-06 -3.05004473e-07],4.60473388175231e-06,68674
68,[-7.72649162e-08 -9.83967746e-07],2.7916740461542133e-06,69699
69,[-1.96736737e-07 -3.71073140e-07],1.1879461720987194e-06,70724
70,[-1.96736737e-07 -3.71073140e-07],1.1879461720987194e-06,71749
71,[-1.96736737e-07 -3.71073140e-07],1.1879461720987194e-06,72774
72,[-1.96736737e-07 -3.71073140e-07],1.1879461720987194e-06,73799
73,[-1.96736737e-07 -3.71073140e-07],1.1879461720987194e-06,74824
74,[ 3.01714149e-07 -3.22807074e-08],8.582493724595963e-07,75849
