#Gen,Best Ind,Fitness,#Evals
0,[ 0.34757084 -0.01856237],0.1211500502290764,0
1,[0.04233179 0.23570139],0.05734712764421066,256
2,[0.04233179 0.23570139],0.05734712764421066,513
3,[0.04233179 0.23570139],0.05734712764421066,770
4,[0.04233179 0.23570139],0.05734712764421066,1027
5,[-0.19767447  0.08355558],0.046056732939022536,1284
6,[-0.05465498  0.11363552],0.01590019874301243,1541
7,[-0.04131417  0.02739859],0.0024575431685762337,1798
8,[-0.04131417  0.02739859],0.0024575431685762337,2055
9,[-0.04131417  0.02739859],0.0024575431685762337,2312
10,[-0.04131417  0.02739859],0.0024575431685762337,2569
11,[0.01646671 0.03066341],0.00121139741450074,2826
12,[ 0.00513476 -0.00531586],5.4624126979815264e-05,3083
13,[ 0.00430599 -0.00238203],2.4215622441384714e-05,3340
14,[ 0.00430599 -0.00238203],2.4215622441384714e-05,3597
15,[ 0.00430599 -0.00238203],2.4215622441384714e-05,3854
16,[ 0.00430599 -0.00238203],2.4215622441384714e-05,4111
17,[ 0.00430599 -0.00238203],2.4215622441384714e-05,4368
18,[ 0.00430599 -0.00238203],2.4215622441384714e-05,4625
19,[ 0.00430599 -0.00238203],2.4215622441384714e-05,4882
20,[ 0.00430599 -0.00238203],2.4215622441384714e-05,5139
21,[ 0.00430599 -0.00238203],2.4215622441384714e-05,5396
22,[ 0.00352234 -0.00095927],1.3327083618978164e-05,5653
23,[-0.00071969  0.00219156],5.320909469347547e-06,5910
24,[-0.00071969  0.00219156],5.320909469347547e-06,6167
25,[ 0.00101447 -0.0005363 ],1.3167703041900264e-06,6424
26,[ 0.00101447 -0.0005363 ],1.3167703041900264e-06,6681
27,[-0.00096057 -0.00049866],1.1713556425823395e-06,6938
28,[-0.00096057 -0.00049866],1.1713556425823395e-06,7195
29,[-0.00096057 -0.00049866],1.1713556425823395e-06,7452
30,[-0.00096057 -0.00049866],1.1713556425823395e-06,7709
31,[-0.00096057 -0.00049866],1.1713556425823395e-06,7966
32,[-0.00041396 -0.00016248],1.977612656746156e-07,8223
