#Gen,Best Ind,Fitness,#Evals
0,[ 1.54195975 -1.90815716],8.98417001522491,0
1,[ 1.21101658 -0.05111598],1.870989368249084,32
2,[ 0.10548188 -0.44820298],0.3928604647684508,65
3,[ 0.10548188 -0.44820298],0.3928604647684508,98
4,[ 0.10548188 -0.44820298],0.3928604647684508,131
5,[ 0.10548188 -0.44820298],0.3928604647684508,164
6,[ 0.10548188 -0.44820298],0.3928604647684508,197
7,[ 0.10548188 -0.44820298],0.3928604647684508,230
8,[ 0.41816839 -0.2018385 ],0.21565608842541778,263
9,[ 0.41816839 -0.2018385 ],0.21565608842541778,296
10,[ 0.41816839 -0.2018385 ],0.10455342398658561,329
11,[ 0.41816839 -0.2018385 ],0.10455342398658561,362
12,[-0.23150025  0.14496234],0.07546052734829604,395
13,[ 0.04745308 -0.04210403],0.004362390480105582,428
14,[ 0.04745308 -0.04210403],0.004362390480105582,461
15,[ 0.04745308 -0.04210403],0.004362390480105582,494
16,[ 0.04745308 -0.04210403],0.004362390480105582,527
17,[ 0.04745308 -0.04210403],0.004362390480105582,560
18,[-0.02039697 -0.03414135],0.0035515538628635105,593
19,[-0.00620149  0.00753234],0.00011483414329061519,626
20,[-0.00620149  0.00753234],0.00011483414329061519,659
21,[-0.00620149  0.00753234],0.00011483414329061519,692
22,[-0.00620149  0.00753234],0.00011483414329061519,725
23,[-0.00620149  0.00753234],0.00011483414329061519,758
24,[-0.00620149  0.00753234],0.00011483414329061519,791
25,[-0.00620149  0.00753234],0.00011483414329061519,824
26,[-0.00620149  0.00753234],0.00011483414329061519,857
27,[-0.00620149  0.00753234],0.00011483414329061519,890
28,[-0.00620149  0.00753234],0.00011483414329061519,923
29,[-0.00620149  0.00753234],0.00011483414329061519,956
30,[-0.00620149  0.00753234],0.00011483414329061519,989
31,[-0.00620149  0.00753234],0.00011483414329061519,1022
32,[ 0.00746588 -0.00186713],6.270684496236098e-05,1055
33,[ 0.0032008  -0.00301765],2.135986986178824e-05,1088
34,[ 0.0032008  -0.00301765],2.135986986178824e-05,1121
35,[ 0.0032008  -0.00301765],2.135986986178824e-05,1154
36,[ 0.0032008  -0.00301765],2.135986986178824e-05,1187
37,[ 0.0032008  -0.00301765],2.135986986178824e-05,1220
38,[-0.00174924  0.0033266 ],2.0138324479270868e-05,1253
39,[-0.00174924  0.0033266 ],1.0950941020507372e-05,1286
40,[-0.00016931  0.00141674],3.8102783290454846e-06,1319
41,[ 0.00037037 -0.00022794],1.9096357256189685e-07,1352
